5353C,Reverse 2 1/2 Somersault 1 1/2 Twist Tuck,3.3
5355B,Reverse 2 1/2 Somersault 2 1/2 Twist Pike,3.9
5355C,Reverse 2 1/2 Somersault 2 1/2 Twist Tuck,3.7
5411A,Inward Dive 1/2 Twist Straight,2
5411B,Inward Dive 1/2 Twist Pike,1.7
5411C,Inward Dive 1/2 Twist Tuck,1.6
5412A,Inward Dive 1 Twist Straight,2.2
5412B,Inward Dive 1 Twist Pike,1.9
5412C,Inward Dive 1 Twist Tuck,1.8
5413A,Inward Dive 1 1/2 Twist Straight,2.6
5421D,Inward 1 Somersault 1/2 Twist Free,1.9
5422D,Inward 1 Somersault 1 Twist Free,2.1
5426D,Inward 1 Somersault 3 Twist Free,3.2
5431D,Inward 1 1/2 Somersault 1/2 Twist Free,2.7
5432D,Inward 1 1/2 Somersault 1 Twist Free,2.7
5434D,Inward 1 1/2 Somersault 2 Twist Free,3.1
